"id","cv","psup","psup_short","pltsup","pltsup_short","pmem","female","agecat","edu","edu4","job","pref","hdist","policy06","policy07","policy08","policy09","policy10","policy11","policy12","policy13","policy14","policy15","policy16","policy17","policy18","policy19","policy20","policy21","policy22","policy23","policy24","policy25","policy38","policy39","policy41"
762,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,27,9,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,3,4,2,1,2,3,2,2
763,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,27,9,3,2,1,3,1,3,3,2,5,2,2,2,4,3,1,2,3,3,3,1,3,4,2
764,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,27,9,5,5,1,5,1,5,5,5,5,1,4,3,4,5,5,1,3,5,3,1,1,5,3
765,"candidate","Your Party","YP",NA,NA,NA,0,NA,NA,NA,NA,27,9,1,2,1,3,3,4,3,4,5,2,2,3,5,5,5,2,2,3,3,3,2,5,2
766,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,27,9,1,1,5,1,1,3,1,2,2,3,3,4,3,5,2,2,1,3,3,2,4,4,4
767,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,27,10,1,2,2,2,1,1,2,1,2,4,2,2,2,2,3,4,4,3,2,5,1,2,2
768,"candidate","Social Democratic Party","SDP",NA,NA,NA,1,NA,NA,NA,NA,27,10,5,5,1,5,4,4,5,5,4,3,4,3,5,4,2,1,2,5,4,1,2,5,3
769,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,27,10,5,5,1,5,3,4,5,5,5,2,2,3,4,5,2,2,3,4,3,1,4,5,3
770,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,27,10,1,1,3,1,2,1,1,1,1,4,4,3,2,5,4,2,1,3,5,2,1,1,3
771,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,1,NA,NA,NA,NA,27,11,1,1,1,5,1,4,1,1,2,2,2,2,2,2,2,4,2,3,3,4,2,2,3
772,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,27,11,2,3,1,4,1,2,3,2,3,2,4,2,4,4,1,3,2,3,3,3,1,4,3
773,"candidate","Japanese Communist Party","JCP",NA,NA,NA,1,NA,NA,NA,NA,27,11,5,5,1,5,5,5,5,5,5,1,3,3,3,5,1,1,3,5,5,1,4,5,3
774,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,27,11,1,1,3,1,2,1,1,1,2,2,2,3,3,5,4,2,1,3,3,5,4,1,4
775,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,27,12,2,3,2,4,2,2,3,3,3,2,3,2,3,3,4,3,4,3,3,4,5,2,3
776,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,27,12,1,2,2,2,1,3,2,2,4,3,3,3,3,3,1,3,3,3,3,4,2,1,3
777,"candidate","Japanese Communist Party","JCP",NA,NA,NA,1,NA,NA,NA,NA,27,12,5,5,1,5,3,5,5,5,5,3,3,3,4,5,1,1,3,5,4,1,3,5,3
778,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,27,12,1,1,3,1,1,1,1,2,2,3,3,3,3,5,4,2,2,3,4,5,2,1,5
779,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,27,13,1,1,2,2,1,1,2,3,3,3,3,2,3,3,2,4,3,3,3,5,5,2,3
780,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,27,13,5,5,1,5,1,5,5,5,5,1,2,3,5,5,2,1,3,5,5,1,1,5,3
781,"candidate","People's New Party","PNP",NA,NA,NA,1,NA,NA,NA,NA,27,13,5,3,1,3,2,5,1,3,5,3,3,1,3,2,3,3,3,5,5,3,3,3,3
782,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,27,13,1,1,3,1,1,1,1,1,1,3,2,3,3,5,5,3,1,3,3,4,4,1,4
783,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,27,14,1,2,1,3,1,2,3,1,5,1,3,2,3,2,3,3,3,3,2,4,2,1,2
784,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,27,14,2,2,1,3,1,2,2,2,4,2,3,2,3,3,2,3,2,3,3,4,3,3,3
785,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,27,14,5,5,1,3,5,5,5,5,5,1,3,2,5,5,3,1,3,5,5,1,5,5,3
786,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,27,14,1,1,1,1,1,1,1,1,1,3,3,3,1,5,3,1,1,3,3,3,1,1,5
787,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,27,14,2,1,5,1,5,1,1,1,2,1,2,2,4,5,3,5,5,1,1,5,1,3,2
788,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,27,15,4,2,1,4,1,1,2,2,4,1,2,1,2,5,4,4,4,4,3,3,2,2,3
789,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,27,15,1,2,2,4,1,2,2,1,3,3,2,2,4,3,1,3,2,3,4,4,2,1,2
790,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,27,15,5,5,1,5,3,4,5,5,5,2,3,3,4,5,3,1,2,5,3,2,5,5,3
791,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,27,15,1,1,3,1,1,1,1,1,3,3,3,3,3,5,5,2,1,2,5,3,1,1,3
792,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,27,16,2,3,2,4,2,2,4,2,4,2,3,3,5,4,1,2,3,4,3,3,1,5,3
793,"candidate","Komei-to (Clean Government Party)","CGP (Komei)",NA,NA,NA,0,NA,NA,NA,NA,27,16,1,5,1,5,1,3,5,3,5,3,3,1,4,1,5,1,3,3,3,2,3,5,3
794,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,27,16,5,5,1,5,4,5,5,5,5,2,2,1,5,5,5,1,2,5,4,1,2,5,3
795,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,27,16,1,1,5,1,1,1,1,3,3,3,3,3,3,5,3,3,1,2,3,5,1,1,3
796,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,1,NA,NA,NA,NA,27,17,2,4,1,4,1,2,2,1,4,2,4,2,4,2,2,5,2,3,3,4,3,2,2
797,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,27,17,5,5,1,5,4,5,5,5,5,1,5,1,5,5,3,1,1,5,5,1,1,5,3
798,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,27,17,1,1,5,1,1,1,1,1,4,2,3,1,2,3,4,5,5,1,1,5,5,2,3
799,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,27,17,5,5,1,5,5,5,5,5,5,1,1,1,5,5,1,1,3,5,5,1,5,5,3
800,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,27,18,1,2,1,3,1,2,2,2,4,3,2,2,2,3,2,3,2,3,3,3,3,2,4
801,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,27,18,3,3,1,3,1,3,3,3,5,3,3,3,3,3,1,1,3,3,3,1,2,3,3
802,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,27,18,5,5,1,5,5,5,5,5,5,2,3,3,5,5,3,1,3,5,5,1,5,5,3
803,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,27,18,1,1,2,1,2,1,1,2,2,3,3,3,3,5,3,2,1,3,5,3,4,1,3
804,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,27,19,1,1,3,2,1,3,1,3,4,3,2,2,1,1,2,1,2,2,3,5,4,1,3
805,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,27,19,2,2,1,3,1,2,3,2,5,3,4,3,4,4,1,3,2,3,4,3,2,4,3
806,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,27,19,5,5,1,5,3,5,5,5,5,1,2,4,5,5,1,1,4,5,5,2,1,5,3
807,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,27,19,1,1,3,1,1,1,1,1,3,3,3,3,4,5,3,3,1,3,3,3,3,1,3
808,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,28,1,2,2,1,2,1,1,1,1,4,2,1,1,3,1,2,1,1,3,3,2,2,1,3
809,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,1,NA,NA,NA,NA,28,1,3,3,1,4,3,3,4,4,4,3,2,3,5,3,1,1,4,4,5,3,1,5,2
810,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,28,1,5,5,1,5,2,5,5,5,5,1,2,3,5,5,3,1,3,5,5,1,4,5,3
811,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,1,1,1,2,1,1,1,1,1,2,3,2,2,3,5,3,3,1,2,4,5,1,3,4
812,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,28,1,5,5,1,5,3,5,5,5,5,2,3,3,4,5,1,1,3,5,3,1,2,5,2
813,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,28,2,2,3,1,2,1,2,2,2,4,1,3,3,5,3,1,5,4,4,3,3,1,4,3
814,"candidate","Komei-to (Clean Government Party)","CGP (Komei)",NA,NA,NA,0,NA,NA,NA,NA,28,2,1,5,1,3,1,1,4,2,5,3,3,3,5,4,5,1,2,3,3,5,5,5,4
815,"candidate","Japanese Communist Party","JCP",NA,NA,NA,1,NA,NA,NA,NA,28,2,5,5,1,5,2,5,5,5,5,1,2,3,5,5,3,1,3,5,5,1,4,5,3
816,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,2,1,1,5,1,2,2,1,1,1,3,3,4,3,5,5,1,1,2,4,5,1,1,4
817,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,28,3,2,4,1,3,1,2,3,2,5,3,2,2,3,5,4,3,3,2,2,3,4,2,3
818,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,28,3,5,5,5,5,3,5,5,2,5,2,3,3,2,5,1,1,3,5,5,1,1,5,1
819,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,28,3,5,5,1,5,2,5,5,5,5,1,2,3,5,5,3,1,3,5,5,1,4,5,3
820,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,3,1,1,4,1,2,1,1,1,2,3,3,3,3,5,4,2,1,2,3,4,2,1,5
821,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,3,3,4,1,4,2,4,3,4,4,2,3,3,4,2,3,2,3,3,3,2,2,5,3
822,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
823,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,28,4,1,1,1,2,1,3,2,3,5,NA,3,3,3,3,2,5,3,2,3,5,1,3,3
824,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,28,4,3,3,1,5,1,3,5,5,3,2,2,3,5,5,2,1,3,3,3,5,1,3,2
825,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,4,1,1,4,1,2,1,1,1,1,4,2,4,3,5,5,1,1,3,2,1,2,2,4
826,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,4,1,1,1,2,1,1,1,1,1,1,2,2,3,3,4,4,4,2,2,5,1,1,2
827,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,4,1,1,NA,1,1,1,1,2,5,1,5,1,5,1,1,1,5,4,4,5,1,5,2
828,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,28,5,1,2,2,4,1,1,3,2,5,2,2,1,2,2,2,3,2,2,2,3,2,2,2
829,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,28,5,1,4,1,3,1,2,2,2,4,2,4,2,4,5,1,1,3,2,4,4,1,5,2
830,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,28,5,1,1,3,1,1,1,1,1,3,4,3,1,3,5,3,3,2,3,3,5,2,3,3
831,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,28,6,1,3,1,2,2,2,2,3,3,3,3,2,3,2,3,5,3,3,3,4,2,4,3
832,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,28,6,2,2,3,2,2,2,3,1,3,3,2,2,4,3,2,3,3,5,3,5,2,2,2
833,"candidate","Japanese Communist Party","JCP",NA,NA,NA,1,NA,NA,NA,NA,28,6,5,5,1,5,2,5,5,5,5,1,2,3,5,5,3,1,3,5,5,1,4,5,3
834,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,6,1,1,4,1,2,1,1,2,3,2,3,1,3,5,3,2,1,4,4,4,1,2,3
835,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,28,7,1,1,4,2,2,3,2,2,4,2,2,3,2,1,4,2,2,2,2,5,5,4,2
836,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,28,7,3,3,2,3,1,2,2,1,4,4,3,3,5,3,1,4,4,2,4,5,1,4,3
837,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,28,7,5,5,1,5,2,5,5,5,5,1,2,3,5,5,3,1,3,5,5,1,1,5,3
838,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,28,7,1,1,3,1,1,2,1,1,3,5,3,3,3,5,3,1,1,3,3,3,1,2,3
839,"candidate","Social Democratic Party","SDP",NA,NA,NA,1,NA,NA,NA,NA,28,8,5,5,1,4,3,4,5,4,5,2,2,3,4,4,3,1,2,4,4,1,2,5,2
840,"candidate","Komei-to (Clean Government Party)","CGP (Komei)",NA,NA,NA,0,NA,NA,NA,NA,28,8,4,3,1,5,1,2,5,3,4,3,2,2,1,2,4,1,2,3,4,5,4,4,3
841,"candidate","Japanese Communist Party","JCP",NA,NA,NA,1,NA,NA,NA,NA,28,8,5,5,1,5,2,4,5,5,5,1,2,3,5,5,3,1,3,5,5,1,2,5,3
842,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,8,5,4,1,4,3,4,5,3,3,3,3,4,4,5,1,3,2,3,3,2,1,5,3
843,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,8,1,1,4,1,2,1,1,1,2,4,3,4,3,5,4,3,1,3,4,4,3,1,4
844,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,28,9,1,1,NA,2,1,1,1,1,5,3,3,2,3,3,3,4,2,3,3,5,1,2,3
845,"candidate","People's New Party","PNP",NA,NA,NA,0,NA,NA,NA,NA,28,9,4,2,1,4,2,4,2,2,4,2,2,2,4,5,4,4,2,2,4,5,2,5,2
846,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,9,1,1,3,1,1,1,1,1,1,3,3,3,3,5,4,1,1,3,5,3,2,1,5
847,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,28,10,1,2,2,2,2,3,2,2,3,3,3,2,3,2,1,4,2,3,4,4,4,2,3
848,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,28,10,2,4,2,3,1,2,2,2,4,3,4,4,4,4,2,3,3,3,3,4,1,5,2
849,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,10,1,1,4,1,1,2,1,3,2,4,4,5,5,5,5,4,1,4,3,5,2,1,5
850,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,28,11,1,1,1,3,1,3,2,2,3,2,2,1,2,3,4,5,3,3,3,5,3,3,3
851,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,28,11,2,2,2,3,2,2,3,2,4,3,4,3,4,4,3,3,3,3,3,3,2,3,3
852,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,28,11,1,1,2,1,1,1,1,1,1,3,2,2,2,5,5,5,1,2,3,3,5,1,4
853,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,28,12,1,1,1,3,1,1,2,2,3,2,2,1,1,5,3,3,3,3,3,3,5,2,3
854,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,28,12,5,5,1,4,1,5,4,3,4,3,4,2,5,3,1,3,3,2,4,1,1,2,2
855,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,28,12,1,1,4,1,1,1,1,3,1,3,3,4,4,5,5,1,1,2,3,5,2,NA,5
856,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,29,1,1,1,2,2,1,1,2,2,3,3,3,1,5,3,1,5,3,2,3,5,1,5,4
857,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,29,1,1,2,2,1,1,2,1,3,4,2,2,2,2,1,2,5,5,2,2,5,2,2,4
858,"candidate","Japanese Communist Party","JCP",NA,NA,NA,1,NA,NA,NA,NA,29,1,5,5,1,5,3,5,5,5,5,2,2,2,4,5,1,1,2,5,3,2,5,5,3
859,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,29,1,1,1,1,1,NA,1,NA,NA,1,NA,2,NA,3,5,5,1,1,3,5,3,1,1,5
860,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,1,NA,NA,NA,NA,29,2,1,1,4,1,1,1,1,3,3,1,2,1,1,2,4,5,4,2,2,4,2,1,3
861,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,29,2,4,3,1,4,1,2,3,3,4,2,4,4,4,5,1,2,2,4,3,3,1,5,3
862,"candidate","Japanese Communist Party","JCP",NA,NA,NA,1,NA,NA,NA,NA,29,2,5,5,1,5,3,5,5,5,4,2,2,2,5,5,1,1,2,5,3,2,5,5,3
863,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,29,2,1,1,1,1,1,1,1,1,3,1,1,3,5,1,5,1,1,NA,5,1,5,1,3
864,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,29,3,1,1,2,3,1,2,2,1,3,2,2,2,2,4,5,5,2,2,2,5,3,1,2
865,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,29,3,NA,4,1,3,2,3,5,4,4,2,3,4,4,4,2,3,3,4,4,2,1,3,3
866,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,29,3,5,5,1,5,3,5,5,5,5,2,2,2,5,5,1,1,2,5,3,2,5,5,3
867,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,29,3,1,1,3,1,1,1,3,2,1,3,2,1,3,5,3,2,1,3,5,3,2,2,3
868,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,29,4,1,2,2,2,1,3,1,1,2,2,2,4,1,1,3,3,3,3,3,3,3,2,2
869,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,29,4,3,3,1,3,1,3,4,3,4,2,2,4,4,5,1,2,2,4,4,5,2,1,3
870,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,29,4,1,1,2,1,1,1,1,1,1,4,4,5,5,5,5,2,1,4,2,2,3,1,4
871,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,30,1,1,2,1,2,1,3,2,1,2,5,2,1,1,2,3,3,2,4,4,5,1,1,2
872,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,30,1,1,3,1,3,1,3,3,2,4,2,4,2,4,4,1,2,3,4,3,3,1,5,4
873,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,30,1,5,5,1,5,1,2,5,5,5,1,1,2,3,5,1,1,2,5,5,1,2,5,3
874,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,30,1,1,1,3,1,1,1,1,1,2,5,3,5,5,5,5,2,1,1,3,5,1,1,4
875,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,30,2,1,3,2,NA,1,2,2,3,4,3,3,2,2,2,5,4,3,2,3,4,5,2,3
876,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,30,2,1,3,1,3,2,2,5,2,4,2,4,2,4,3,1,3,2,2,3,5,1,5,2
877,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,30,2,1,1,5,1,1,1,1,2,NA,3,5,3,5,5,5,3,1,3,5,2,5,3,3
878,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,30,3,1,2,4,4,1,3,1,1,3,2,2,2,1,2,5,4,2,2,2,4,3,2,2
879,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,30,3,3,5,2,3,1,2,3,3,4,3,2,2,5,5,1,1,4,4,3,2,1,2,2
880,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,30,3,1,1,4,1,1,1,1,1,1,4,2,2,5,5,5,3,2,3,3,3,2,1,5
881,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,31,1,1,1,3,4,3,3,1,3,4,4,3,2,2,1,4,3,4,2,2,5,3,2,2
882,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,31,1,4,4,2,4,3,3,4,4,4,3,2,2,3,3,2,2,3,3,4,2,2,3,3
883,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,31,1,5,5,1,5,5,5,5,5,5,1,3,3,5,5,5,1,1,5,5,1,5,5,3
884,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,31,1,1,1,3,1,2,1,1,1,1,2,2,3,3,5,5,1,1,3,3,3,1,1,3
885,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,31,2,1,1,1,4,1,2,2,3,5,2,3,2,2,3,2,4,2,2,3,5,3,2,3
886,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,31,2,3,3,2,5,2,5,5,4,4,2,4,4,3,4,1,1,3,4,5,4,3,5,2
887,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,31,2,1,1,4,1,1,1,1,1,2,3,4,3,4,5,5,2,1,2,3,1,2,2,3
888,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,32,1,1,3,1,3,1,2,2,2,3,2,2,2,3,2,4,3,3,3,3,4,3,1,4
889,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,32,1,4,4,1,3,3,3,4,3,5,2,3,3,4,3,3,1,2,4,4,2,1,3,3
890,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,32,1,5,5,1,5,3,4,5,5,5,2,4,3,4,5,3,1,3,5,5,3,3,5,3
891,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,32,1,1,1,4,1,2,2,2,2,3,4,3,3,3,5,4,3,1,3,3,5,3,1,4
892,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,32,2,1,1,2,2,1,2,2,1,3,3,1,1,1,2,5,4,3,2,3,3,4,1,3
893,"candidate","People's New Party","PNP",NA,NA,NA,0,NA,NA,NA,NA,32,2,2,2,1,5,3,3,5,4,4,2,2,1,2,5,1,4,3,3,3,4,4,2,3
894,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,32,2,1,1,3,1,1,2,1,2,2,2,3,3,3,5,4,5,1,2,3,3,3,2,3
895,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,33,1,1,1,1,NA,1,1,1,1,4,3,3,1,3,1,3,3,2,2,2,5,5,1,2
896,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,33,1,3,3,1,3,2,3,4,3,4,2,3,2,5,2,1,2,2,3,4,3,1,5,2
897,"candidate","Japanese Communist Party","JCP",NA,NA,NA,0,NA,NA,NA,NA,33,1,5,5,1,5,2,4,5,5,5,2,1,2,5,5,1,1,2,5,5,1,1,5,3
898,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,1,NA,NA,NA,NA,33,1,1,1,4,1,2,1,1,2,3,3,2,3,3,5,5,5,1,3,3,2,4,2,3
899,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,0,NA,NA,NA,NA,33,2,1,3,3,3,2,2,3,2,5,3,3,2,3,4,4,3,3,2,2,5,2,2,3
900,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,33,2,1,5,1,5,1,1,5,1,5,5,5,1,5,5,1,1,1,5,5,5,5,5,5
901,"candidate","People's New Party","PNP",NA,NA,NA,0,NA,NA,NA,NA,33,2,5,1,5,1,5,5,1,5,1,5,1,5,5,5,5,5,1,1,1,5,1,1,5
902,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,33,2,1,1,3,1,1,1,1,1,1,3,5,5,3,5,3,1,1,3,3,5,5,4,3
903,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,33,2,1,1,4,4,1,3,1,1,5,3,4,5,5,3,5,5,4,3,4,5,2,5,3
904,"candidate","Liberal Democratic Party","LDP",NA,NA,NA,1,NA,NA,NA,NA,33,3,2,1,2,3,1,3,2,1,4,3,1,1,3,2,5,3,3,4,3,3,2,5,3
905,"candidate","Democratic Party of Japan","DPJ",NA,NA,NA,0,NA,NA,NA,NA,33,3,2,5,1,3,1,4,4,3,3,3,3,2,3,5,4,2,4,4,4,2,1,4,2
906,"candidate","Other Parties/NA","Other/NA",NA,NA,NA,0,NA,NA,NA,NA,33,3,1,1,3,1,1,1,1,1,3,3,3,3,3,5,5,2,1,2,3,4,3,1,3
